"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Joe Paciorek","Brewers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".282",".338",".620",".274"," ","66","0.0","0.0"," ","0.0","0.0","0.0","sa389764"
"Gerald Laird","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".232",".292",".328",".620",".274"," ","65","0.0","0.0"," ","0.0","0.0","0.0","1698"
"Chris Herrmann","Diamondbacks","115","104","23","5","1","2","10","10","8","28","1","1","1"," ",".223",".285",".337",".622",".273"," ","65","0.1","0.4"," ","-4.6","2.7","0.2","9284"
"Tyler Flowers","Braves","167","153","34","6","0","4","14","16","9","52","2","1","0"," ",".219",".272",".350",".622",".273"," ","71","-0.4","-0.4"," ","-6.2","3.1","0.2","9134"
"Carlos Garay","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".281",".342",".623",".273"," ","64","0.0","0.0"," ","0.0","0.0","0.0","sa657431"
"Taylor Krick","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".231",".291",".323",".614",".273"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa505580"
"Nevin Ashley","Brewers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".225",".284",".332",".616",".273"," ","65","0.0","0.0"," ","0.0","0.0","0.0","3274"
"Carlos Paulino","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".242",".287",".331",".618",".273"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa456100"
"Tim Federowicz","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".221",".273",".351",".624",".272"," ","73","0.0","0.0"," ","0.0","0.0","0.0","8609"
"Chris Stewart","Pirates","138","125","30","6","0","1","10","11","8","24","2","1","0"," ",".243",".296",".317",".613",".272"," ","72","-0.1","-0.4"," ","-4.6","2.5","0.2","3878"
